"year","road_user","state","cases"
2021,"Pedal cyclist","Tas",118
2021,"Pedal cyclist","Vic",2695
2021,"Pedal cyclist","WA",704
2021,"Pedestrian","ACT",22
2021,"Pedestrian","NSW",649
2021,"Pedestrian","NT",58
2021,"Pedestrian","Qld",448
2021,"Pedestrian","SA",172
2021,"Pedestrian","Tas",46
2021,"Pedestrian","Vic",682
2021,"Pedestrian","WA",220
