"year","age_group","state","cases"
2016,"40-64","Vic",3487
2016,"40-64","WA",1022
2016,"65-74","ACT",28
2016,"65-74","NSW",832
2016,"65-74","NT",11
2016,"65-74","Qld",553
2016,"65-74","SA",224
2016,"65-74","Tas",46
2016,"65-74","Vic",725
2016,"65-74","WA",187
2016,"75+","ACT",43
2016,"75+","NSW",800
2016,"75+","NT",13
2016,"75+","Qld",433
2016,"75+","SA",222
2016,"75+","Tas",46
2016,"75+","Vic",673
2016,"75+","WA",163
2016,"8-16","ACT",51
2016,"8-16","NSW",705
2016,"8-16","NT",61
2016,"8-16","Qld",644
2016,"8-16","SA",155
2016,"8-16","Tas",60
2016,"8-16","Vic",528
2016,"8-16","WA",257
2017,"0-7","NSW",190
2017,"0-7","NT",20
2017,"0-7","Qld",217
2017,"0-7","SA",40
2017,"0-7","Vic",193
2017,"0-7","WA",63
2017,"17-25","ACT",113
2017,"17-25","NSW",2393
2017,"17-25","NT",179
2017,"17-25","Qld",2041
2017,"17-25","SA",463
2017,"17-25","Tas",149
2017,"17-25","Vic",2212
2017,"17-25","WA",612
2017,"26-39","ACT",153
2017,"26-39","NSW",2510
2017,"26-39","NT",197
2017,"26-39","Qld",2142
2017,"26-39","SA",525
2017,"26-39","Tas",104
2017,"26-39","Vic",2763
2017,"26-39","WA",804
2017,"40-64","ACT",237
2017,"40-64","NSW",3647
2017,"40-64","NT",204
2017,"40-64","Qld",3004
2017,"40-64","SA",791
2017,"40-64","Tas",233
2017,"40-64","Vic",3607
2017,"40-64","WA",1080
2017,"65-74","ACT",42
2017,"65-74","NSW",847
2017,"65-74","NT",30
2017,"65-74","Qld",580
2017,"65-74","SA",205
2017,"65-74","Tas",68
2017,"65-74","Vic",784
2017,"65-74","WA",177
2017,"75+","NSW",799
2017,"75+","NT",17
2017,"75+","Qld",451
2017,"75+","SA",220
2017,"75+","Vic",661
2017,"75+","WA",171
2017,"8-16","ACT",40
2017,"8-16","NSW",630
2017,"8-16","NT",56
2017,"8-16","Qld",699
2017,"8-16","SA",150
2017,"8-16","Tas",50
2017,"8-16","Vic",574
2017,"8-16","WA",288
2018,"0-7","ACT",14
2018,"0-7","NSW",130
2018,"0-7","NT",12
2018,"0-7","Qld",204
2018,"0-7","SA",36
2018,"0-7","Tas",8
2018,"0-7","Vic",228
2018,"0-7","WA",76
2018,"17-25","ACT",143
2018,"17-25","NSW",1974
2018,"17-25","NT",221
2018,"17-25","Qld",2061
2018,"17-25","SA",482
2018,"17-25","Tas",164
2018,"17-25","Vic",2311
2018,"17-25","WA",627
2018,"26-39","ACT",171
2018,"26-39","NSW",2285
2018,"26-39","NT",256
2018,"26-39","Qld",2286
2018,"26-39","SA",572
2018,"26-39","Tas",161
2018,"26-39","Vic",2862
2018,"26-39","WA",808
2018,"40-64","ACT",248
2018,"40-64","NSW",3283
2018,"40-64","NT",241
2018,"40-64","Qld",3052
2018,"40-64","SA",853
2018,"40-64","Tas",266
2018,"40-64","Vic",3780
2018,"40-64","WA",1111
2018,"65-74","ACT",50
2018,"65-74","NSW",779
2018,"65-74","NT",21
2018,"65-74","Qld",621
2018,"65-74","SA",180
2018,"65-74","Tas",69
2018,"65-74","Vic",900
2018,"65-74","WA",217
2018,"75+","ACT",49
2018,"75+","NSW",781
2018,"75+","NT",7
2018,"75+","Qld",486
2018,"75+","SA",187
2018,"75+","Tas",30
2018,"75+","Vic",795
2018,"75+","WA",176
2018,"8-16","ACT",37
2018,"8-16","NSW",562
2018,"8-16","NT",66
2018,"8-16","Qld",671
2018,"8-16","SA",179
2018,"8-16","Tas",54
2018,"8-16","Vic",577
2018,"8-16","WA",259
2019,"0-7","NSW",149
2019,"0-7","NT",12
2019,"0-7","Qld",165
2019,"0-7","SA",53
2019,"0-7","Tas",8
2019,"0-7","Vic",183
2019,"0-7","WA",102
2019,"17-25","ACT",128
2019,"17-25","NSW",1950
2019,"17-25","NT",178
2019,"17-25","Qld",2004
2019,"17-25","SA",498
2019,"17-25","Tas",153
2019,"17-25","Vic",2185
2019,"17-25","WA",622
2019,"26-39","ACT",181
2019,"26-39","NSW",2240
2019,"26-39","NT",180
2019,"26-39","Qld",2216
2019,"26-39","SA",539
2019,"26-39","Tas",163
2019,"26-39","Vic",2894
2019,"26-39","WA",864
2019,"40-64","ACT",217
2019,"40-64","NSW",3357
2019,"40-64","NT",185
2019,"40-64","Qld",3165
2019,"40-64","SA",809
2019,"40-64","Tas",211
2019,"40-64","Vic",3838
2019,"40-64","WA",1224
2019,"65-74","ACT",53
2019,"65-74","NSW",836
2019,"65-74","NT",29
2019,"65-74","Qld",717
2019,"65-74","SA",217
2019,"65-74","Tas",59
2019,"65-74","Vic",887
2019,"65-74","WA",233
2019,"75+","ACT",18
2019,"75+","NSW",827
2019,"75+","NT",12
2019,"75+","Qld",533
2019,"75+","SA",190
2019,"75+","Tas",58
2019,"75+","Vic",804
2019,"75+","WA",205
2019,"8-16","ACT",29
2019,"8-16","NSW",583
2019,"8-16","NT",44
2019,"8-16","Qld",715
2019,"8-16","SA",151
2019,"8-16","Tas",28
2019,"8-16","Vic",601
2019,"8-16","WA",284
2020,"0-7","NSW",151
2020,"0-7","Qld",233
2020,"0-7","SA",30
2020,"0-7","Tas",26
2020,"0-7","Vic",176
2020,"0-7","WA",72
2020,"17-25","ACT",101
2020,"17-25","NSW",1917
2020,"17-25","NT",202
2020,"17-25","Qld",2183
2020,"17-25","SA",497
2020,"17-25","Tas",192
2020,"17-25","Vic",1917
2020,"17-25","WA",693
2020,"26-39","ACT",174
2020,"26-39","NSW",2076
2020,"26-39","NT",206
2020,"26-39","Qld",2296
2020,"26-39","SA",586
2020,"26-39","Tas",170
2020,"26-39","Vic",2497
2020,"26-39","WA",924
2020,"40-64","ACT",220
2020,"40-64","NSW",3071
2020,"40-64","NT",232
2020,"40-64","Qld",3199
2020,"40-64","SA",807
2020,"40-64","Tas",221
2020,"40-64","Vic",3285
2020,"40-64","WA",1217
2020,"65-74","ACT",47
2020,"65-74","NSW",726
2020,"65-74","NT",44
2020,"65-74","Qld",670
2020,"65-74","SA",224
2020,"65-74","Tas",67
2020,"65-74","Vic",720
2020,"65-74","WA",257
2020,"75+","NSW",690
2020,"75+","Qld",448
2020,"75+","SA",172
2020,"75+","Tas",41
2020,"75+","Vic",578
2020,"75+","WA",187
2020,"8-16","ACT",56
2020,"8-16","NSW",643
2020,"8-16","NT",73
2020,"8-16","Qld",772
2020,"8-16","SA",187
2020,"8-16","Tas",61
2020,"8-16","Vic",711
2020,"8-16","WA",286
2021,"0-7","ACT",10
2021,"0-7","NSW",146
2021,"0-7","NT",12
2021,"0-7","Qld",186
2021,"0-7","SA",48
2021,"0-7","Tas",10
2021,"0-7","Vic",214
2021,"0-7","WA",67
2021,"17-25","ACT",118
2021,"17-25","NSW",1762
2021,"17-25","NT",178
2021,"17-25","Qld",2316
2021,"17-25","SA",523
2021,"17-25","Tas",199
2021,"17-25","Vic",2070
2021,"17-25","WA",685
2021,"26-39","ACT",174
2021,"26-39","NSW",1956
2021,"26-39","NT",199
2021,"26-39","Qld",2503
2021,"26-39","SA",589
2021,"26-39","Tas",163
2021,"26-39","Vic",2804
2021,"26-39","WA",824
2021,"40-64","ACT",288
2021,"40-64","NSW",3027
2021,"40-64","NT",215
2021,"40-64","Qld",3430
2021,"40-64","SA",848
2021,"40-64","Tas",227
2021,"40-64","Vic",3714
2021,"40-64","WA",1201
2021,"65-74","ACT",48
2021,"65-74","NSW",749
2021,"65-74","NT",35
2021,"65-74","Qld",706
2021,"65-74","SA",265
2021,"65-74","Tas",82
2021,"65-74","Vic",849
2021,"65-74","WA",276
2021,"75+","ACT",15
2021,"75+","NSW",707
2021,"75+","NT",5
2021,"75+","Qld",553
2021,"75+","SA",177
2021,"75+","Tas",65
2021,"75+","Vic",671
2021,"75+","WA",231
2021,"8-16","ACT",60
2021,"8-16","NSW",656
2021,"8-16","NT",56
2021,"8-16","Qld",753
2021,"8-16","SA",182
2021,"8-16","Tas",59
2021,"8-16","Vic",808
2021,"8-16","WA",284
